Id,Date,TotalSteps,TotalMinutesAsleep
1644430081,,3758,796.0
1844505072,,3844,644.0
1844505072,,4014,722.0
1844505072,,2573,590.0
1927972279,,678,750.0
1927972279,,980,475.0
2026352035,,4414,503.0
2026352035,,4993,531.0
2026352035,,3335,545.0
2026352035,,3821,523.0
2026352035,,2547,524.0
2026352035,,838,437.0
2026352035,,2424,498.0
2026352035,,2467,477.0
2026352035,,2915,520.0
2026352035,,3490,555.0
2026352035,,4729,573.0
2026352035,,3609,527.0
2026352035,,4193,511.0
